task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	dd/116e6b	30244801	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:OBJ_CONSTRUCTION (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:42:36.258	14s	10.4s	94.3%	503.1 MB	672.7 MB	57.1 MB	1.1 MB
6	ca/03d121	30244822	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:CUSTOM_GETCHROMSIZES (GRCh38.p14.genome.fa)	CACHED	0	2026-01-27 10:43:00.480	14.8s	9s	88.4%	5 MB	10.5 MB	3.1 GB	40.7 KB
13	dc/7e55e4	30244846	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:STAR_GENOMEGENERATE (GRCh38.p14.genome.fa)	CACHED	0	2026-01-27 10:43:21.406	1h 4s	59m 31s	635.2%	65.6 GB	83.7 GB	58.9 GB	76.1 GB
14	a8/9f6a18	30244813	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:R_COUNT_NORM (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:42:50.489	14.8s	11.4s	95.8%	526.1 MB	695.7 MB	59.3 MB	9.6 MB
17	bd/8cc728	30244829	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:CONTROL_GENE_HEATMAP (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:43:05.643	19.6s	16.2s	95.5%	971.7 MB	1.2 GB	69.7 MB	830.7 KB
15	56/2bd003	30244833	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:PCA_AND_MDS (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:43:07.628	17.6s	14.4s	93.2%	744.6 MB	1 GB	72.4 MB	1.5 MB
16	ab/fb8149	30244831	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:SAMPLES_CORRELATION (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:43:06.620	18.6s	16.3s	95.9%	980.4 MB	1.2 GB	69.8 MB	3.2 MB
18	c3/7151e0	30244830	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_FIT (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:43:05.755	29.5s	27.4s	97.3%	758.6 MB	1 GB	84.6 MB	21 MB
19	10/34d173	30244860	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_COMPARE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated)	CACHED	0	2026-01-27 10:43:35.396	19.9s	15.1s	95.6%	651.4 MB	948.8 MB	87.3 MB	10.1 MB
20	8b/e13c0d	30244861	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_COMPARE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated)	CACHED	0	2026-01-27 10:43:35.484	19.8s	15.2s	95.4%	651.4 MB	948.8 MB	87.1 MB	9.9 MB
22	ab/33dd37	30249851	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated_h.all.v2024.1.Hs.entrez)	CACHED	0	2026-01-27 13:23:44.884	28.8s	22.1s	96.6%	592.8 MB	813.1 MB	98.3 MB	18.7 MB
25	20/9223d9	30249841	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated_h.all.v2024.1.Hs.entrez)	CACHED	0	2026-01-27 13:23:39.897	18.8s	14.6s	77.5%	484.3 MB	694.2 MB	81.6 MB	38.7 KB
24	fe/7ff922	30249837	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated_h.all.v2024.1.Hs.entrez)	CACHED	0	2026-01-27 13:23:38.240	30.4s	26.8s	83.1%	602.7 MB	823.2 MB	101.9 MB	23 MB
23	3c/eb27da	30249849	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated_h.all.v2024.1.Hs.entrez)	CACHED	0	2026-01-27 13:23:43.894	14.8s	11.8s	93.9%	481.2 MB	627 MB	81.6 MB	2.3 KB
26	b3/91b384	30244865	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_COMPARE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone)	CACHED	0	2026-01-27 10:43:37.374	17.9s	14.8s	95.3%	651.4 MB	948.8 MB	87.2 MB	10 MB
21	e4/cd97c0	30244863	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_COMPARE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated)	CACHED	0	2026-01-27 10:43:36.374	18.9s	15s	95.6%	651.4 MB	948.8 MB	87.1 MB	9.9 MB
29	aa/867213	30249883	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated_h.all.v2024.1.Hs.entrez)	CACHED	0	2026-01-27 13:24:02.872	15.8s	11.8s	94.1%	481.2 MB	627 MB	81.6 MB	4 KB
28	c3/68d11b	30249870	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone_h.all.v2024.1.Hs.entrez)	CACHED	0	2026-01-27 13:23:54.878	18.8s	11.9s	91.9%	487.9 MB	697.9 MB	81.6 MB	1.6 KB
30	ba/3e5c8b	30244905	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:SUMMARY_TABLE (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:44:07.499	2.8s	100ms	43.0%	3 MB	3.9 MB	366.1 KB	4.9 KB
27	90/52c6ef	30249867	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone_h.all.v2024.1.Hs.entrez)	CACHED	0	2026-01-27 13:23:52.913	25.7s	21.5s	95.1%	637.1 MB	857.9 MB	95.9 MB	15.8 MB
34	21/28085e	30249881	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated_h.all.v2024.1.Hs.entrez)	CACHED	0	2026-01-27 13:24:01.903	26.8s	21.3s	96.2%	597.9 MB	819.2 MB	97.1 MB	17.2 MB
32	78/785512	30250340	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated)	COMPLETED	0	2026-01-27 13:33:02.946	5.8s	2.1s	87.5%	10.9 MB	94 MB	30.8 MB	1.6 KB
31	7c/6fde5a	30250341	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated)	COMPLETED	0	2026-01-27 13:33:03.060	5.7s	2.6s	87.1%	80 MB	172.7 MB	31.2 MB	55.2 KB
33	04/09ec6d	30250343	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated)	COMPLETED	0	2026-01-27 13:33:03.616	5.2s	2.2s	89.1%	125.4 MB	219.3 MB	30.8 MB	1.6 KB
35	67/4994c7	30250345	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone)	COMPLETED	0	2026-01-27 13:33:04.578	4.2s	2.1s	91.5%	78.1 MB	171.1 MB	30.8 MB	1.6 KB
38	24/dc29f1	30250346	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated)	COMPLETED	0	2026-01-27 13:33:05.570	3.2s	1.3s	90.8%	26 MB	111.9 MB	21.5 MB	89.6 KB
37	b3/67aa98	30250348	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated)	COMPLETED	0	2026-01-27 13:33:06.558	2.3s	1.4s	88.4%	36.4 MB	122.3 MB	21.4 MB	82.1 KB
36	1a/bac20d	30250350	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated)	COMPLETED	0	2026-01-27 13:33:07.596	6.1s	2.6s	83.8%	125.8 MB	219.4 MB	31.2 MB	61.9 KB
42	f6/34c027	30250352	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated)	COMPLETED	0	2026-01-27 13:33:08.552	5.2s	1.4s	91.2%	26 MB	111.9 MB	21.4 MB	80.6 KB
43	53/82b3bf	30250359	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone)	COMPLETED	0	2026-01-27 13:33:12.570	6.2s	2.1s	89.8%	79.9 MB	172.7 MB	30.8 MB	1.6 KB
40	49/87c73a	30250357	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated)	COMPLETED	0	2026-01-27 13:33:11.576	7.2s	2.1s	89.4%	78.4 MB	171.3 MB	30.8 MB	1.6 KB
44	e1/f96bf0	30250361	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated)	COMPLETED	0	2026-01-27 13:33:13.566	5.2s	2.5s	88.7%	82 MB	174.9 MB	31.2 MB	65.5 KB
46	a7/a26cea	30250363	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated)	COMPLETED	0	2026-01-27 13:33:14.591	4.2s	2s	91.8%	81.8 MB	174.9 MB	30.8 MB	2.8 KB
39	5a/da43c2	30250354	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone)	COMPLETED	0	2026-01-27 13:33:09.567	9.2s	1.4s	90.7%	17.2 MB	105 MB	21.4 MB	79.5 KB
41	44/5deb39	30250355	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated)	COMPLETED	0	2026-01-27 13:33:10.561	8.2s	2.1s	89.5%	79.6 MB	172.5 MB	30.8 MB	2.8 KB
47	e9/a0350a	30250366	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone)	COMPLETED	0	2026-01-27 13:33:16.539	7.2s	2.1s	88.8%	62.4 MB	153.1 MB	30.8 MB	1.6 KB
45	21/a85529	30250364	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated)	COMPLETED	0	2026-01-27 13:33:15.546	8.2s	2.5s	89.9%	129.1 MB	414.6 MB	31.2 MB	44.9 KB
48	21/7502f2	30250374	NFDATAOMICS_RNASEQ:RNASEQ:MULTIQC	COMPLETED	0	2026-01-27 13:33:23.859	34.9s	32.2s	18.3%	682.7 MB	10.3 GB	110.2 MB	22.6 MB
