task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	a8/9f6a18	30244813	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:R_COUNT_NORM (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:42:50.489	14.8s	11.4s	95.8%	526.1 MB	695.7 MB	59.3 MB	9.6 MB
10	dc/7e55e4	30244846	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:STAR_GENOMEGENERATE (GRCh38.p14.genome.fa)	CACHED	0	2026-01-27 10:43:21.406	1h 4s	59m 31s	635.2%	65.6 GB	83.7 GB	58.9 GB	76.1 GB
18	c3/7151e0	30244830	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_FIT (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:43:05.755	29.5s	27.4s	97.3%	758.6 MB	1 GB	84.6 MB	21 MB
15	ab/fb8149	30244831	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:SAMPLES_CORRELATION (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:43:06.620	18.6s	16.3s	95.9%	980.4 MB	1.2 GB	69.8 MB	3.2 MB
16	bd/8cc728	30244829	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:CONTROL_GENE_HEATMAP (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:43:05.643	19.6s	16.2s	95.5%	971.7 MB	1.2 GB	69.7 MB	830.7 KB
17	56/2bd003	30244833	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:PCA_AND_MDS (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:43:07.628	17.6s	14.4s	93.2%	744.6 MB	1 GB	72.4 MB	1.5 MB
19	10/34d173	30244860	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_COMPARE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated)	CACHED	0	2026-01-27 10:43:35.396	19.9s	15.1s	95.6%	651.4 MB	948.8 MB	87.3 MB	10.1 MB
20	8b/e13c0d	30244861	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_COMPARE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated)	CACHED	0	2026-01-27 10:43:35.484	19.8s	15.2s	95.4%	651.4 MB	948.8 MB	87.1 MB	9.9 MB
38	b3/91b384	30244865	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_COMPARE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone)	CACHED	0	2026-01-27 10:43:37.374	17.9s	14.8s	95.3%	651.4 MB	948.8 MB	87.2 MB	10 MB
21	e4/cd97c0	30244863	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_COMPARE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated)	CACHED	0	2026-01-27 10:43:36.374	18.9s	15s	95.6%	651.4 MB	948.8 MB	87.1 MB	9.9 MB
49	ba/3e5c8b	30244905	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:SUMMARY_TABLE (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:44:07.499	2.8s	100ms	43.0%	3 MB	3.9 MB	366.1 KB	4.9 KB
26	0c/3d834c	30249838	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated_c2.cp.kegg_legacy.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:38.361	20.3s	14.6s	78.2%	484.3 MB	694.2 MB	81.7 MB	104.5 KB
25	20/9223d9	30249841	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated_h.all.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:39.897	18.8s	14.6s	77.5%	484.3 MB	694.2 MB	81.6 MB	38.7 KB
30	3c/eb27da	30249849	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated_h.all.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:43.894	14.8s	11.8s	93.9%	481.2 MB	627 MB	81.6 MB	2.3 KB
23	40/3ff021	30249839	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated_c2.cp.kegg_legacy.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:38.952	24.7s	21.4s	79.5%	502.2 MB	724.1 MB	88.6 MB	7.2 MB
31	19/b55663	30249862	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated_c2.cp.kegg_legacy.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:49.905	13.8s	11.6s	94.3%	484.3 MB	630.1 MB	81.7 MB	2.6 KB
22	fe/7ff922	30249837	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated_h.all.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:38.240	30.4s	26.8s	83.1%	602.7 MB	823.2 MB	101.9 MB	23 MB
34	96/9d1d38	30249858	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated_c5.go.bp.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:47.905	20.8s	14.4s	95.6%	789.4 MB	999.2 MB	86 MB	45.8 KB
27	11/8d4516	30249843	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated_c5.go.bp.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:40.889	32.8s	28.6s	96.6%	864.1 MB	1 GB	86 MB	3.1 MB
35	0a/0e0fbf	30249865	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated_c7.immunesigdb.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:51.879	21.8s	17.6s	95.5%	870.1 MB	1.1 GB	87.4 MB	73.6 KB
42	c3/68d11b	30249870	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone_h.all.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:54.878	18.8s	11.9s	91.9%	487.9 MB	697.9 MB	81.6 MB	1.6 KB
43	68/c368e3	30249875	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone_c2.cp.kegg_legacy.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:57.975	15.7s	11.7s	94.6%	481.2 MB	627 MB	81.7 MB	1.6 KB
32	ab/33dd37	30249851	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated_h.all.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:44.884	28.8s	22.1s	96.6%	592.8 MB	813.1 MB	98.3 MB	18.7 MB
33	d1/df57b5	30249856	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated_c2.cp.kegg_legacy.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:46.887	26.8s	22.4s	95.7%	598.2 MB	818.5 MB	98.3 MB	18.7 MB
40	0c/7d6a92	30249868	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone_c2.cp.kegg_legacy.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:53.882	24.8s	16.7s	92.3%	981.4 MB	1.4 GB	85 MB	2.9 MB
39	90/52c6ef	30249867	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone_h.all.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:52.913	25.7s	21.5s	95.1%	637.1 MB	857.9 MB	95.9 MB	15.8 MB
47	6f/bbbc5f	30249877	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone_c7.immunesigdb.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:58.889	19.8s	12.1s	94.5%	520.5 MB	730.1 MB	87.3 MB	1.6 KB
44	51/0049b3	30249880	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone_c5.go.bp.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:24:00.885	17.8s	12s	94.2%	487.5 MB	697.6 MB	85.9 MB	1.6 KB
51	aa/867213	30249883	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated_h.all.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:24:02.872	15.8s	11.8s	94.1%	481.2 MB	627 MB	81.6 MB	4 KB
52	bc/10c41d	30249886	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated_c2.cp.kegg_legacy.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:24:04.888	13.8s	11.3s	95.2%	484.3 MB	694.2 MB	81.7 MB	3.7 KB
28	1b/5c1fa9	30249847	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated_c7.immunesigdb.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:42.911	40.7s	35.6s	97.0%	1.1 GB	1.3 GB	87.4 MB	4.4 MB
37	de/72eeb0	30249864	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated_c7.immunesigdb.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:50.894	37.8s	30.6s	95.5%	875.2 MB	1.1 GB	99.2 MB	13 MB
48	04/b6029b	30249878	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated_c2.cp.kegg_legacy.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:59.913	28.8s	22s	95.4%	595.5 MB	816.8 MB	97.1 MB	17.2 MB
46	21/28085e	30249881	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated_h.all.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:24:01.903	26.8s	21.3s	96.2%	597.9 MB	819.2 MB	97.1 MB	17.2 MB
54	5f/e51979	30249888	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated_c5.go.bp.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:24:05.905	22.8s	16.4s	96.2%	901.4 MB	1.1 GB	86 MB	141.7 KB
55	9b/06664a	30249891	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated_c7.immunesigdb.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:24:06.889	21.8s	19.5s	96.6%	1 GB	1.2 GB	87.4 MB	266 KB
36	5a/547747	30249860	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated_c5.go.bp.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:48.929	49.7s	43.5s	97.5%	4.6 GB	6 GB	129.4 MB	50.3 MB
24	77/82b22e	30249845	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated_c5.go.bp.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:41.888	1m 2s	55.4s	97.5%	3.8 GB	5 GB	147.7 MB	71.9 MB
29	25/861b05	30249853	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated_c7.immunesigdb.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:45.910	57.8s	51.7s	96.6%	904.8 MB	1.1 GB	149.1 MB	71.9 MB
57	c7/452cee	30249910	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated)	FAILED	1	2026-01-27 13:24:28.970	14.8s	10.1s	-	-	-	-	-
59	bc/9799f4	30249913	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated)	FAILED	1	2026-01-27 13:24:30.829	13s	10.1s	-	-	-	-	-
60	97/ddef1b	30249915	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated)	FAILED	1	2026-01-27 13:24:31.818	12s	10.1s	-	-	-	-	-
64	9d/9e14e1	30249922	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated)	FAILED	1	2026-01-27 13:24:35.843	7.9s	5.1s	-	-	-	-	-
67	51/98bdb5	30249927	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated)	FAILED	1	2026-01-27 13:24:38.840	5s	2ms	-	-	-	-	-
62	12/2e4ed1	30249918	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone)	COMPLETED	0	2026-01-27 13:24:33.829	10s	4.5s	44.1%	125.5 MB	219.3 MB	30.8 MB	2.6 KB
61	54/fbd991	30249917	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated)	COMPLETED	0	2026-01-27 13:24:32.837	10.9s	4.5s	44.1%	125.5 MB	219.3 MB	30.8 MB	2.5 KB
63	af/15654d	30249920	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated)	COMPLETED	0	2026-01-27 13:24:34.852	8.9s	4s	48.2%	124.7 MB	218.7 MB	30.8 MB	2.6 KB
58	6f/6388f0	30249911	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone)	COMPLETED	0	2026-01-27 13:24:29.846	13.9s	6.9s	28.0%	124.8 MB	218.8 MB	30.8 MB	2.6 KB
66	5e/e8f16c	30249923	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone)	COMPLETED	0	2026-01-27 13:24:36.847	6.9s	2.1s	81.8%	124.7 MB	218.6 MB	30.8 MB	2.6 KB
65	37/836f77	30249925	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol:Untreated)	COMPLETED	0	2026-01-27 13:24:37.850	6s	2.1s	90.7%	80 MB	172.7 MB	30.8 MB	2.5 KB
56	29/b32981	30249909	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:CLUSTERPROFILER_ORA_MERGE (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Dexamethasone:Untreated)	FAILED	1	2026-01-27 13:24:28.897	14.9s	10.1s	-	-	-	-	-
53	e6/1d9a10	30249892	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated_c7.immunesigdb.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:24:07.872	41.1s	38.4s	97.2%	876.8 MB	1.1 GB	122.3 MB	40.1 MB
45	e1/4a65bc	30249872	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone_c7.immunesigdb.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:55.907	58s	52.8s	96.5%	1.7 GB	2.1 GB	149.2 MB	71.9 MB
41	94/336d29	30249873	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Dexamethasone_c5.go.bp.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:23:56.899	1m 2s	56.9s	96.8%	1.5 GB	2 GB	147.7 MB	71.8 MB
50	a7/18020c	30249885	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:GSEA (GSE52778_raw_counts_GRCh38.p13_NCBI_Treatment:Albuterol_Dexamethasone:Untreated_c5.go.bp.v2024.1.Hs.entrez)	COMPLETED	0	2026-01-27 13:24:03.872	55.1s	53.6s	97.7%	4.6 GB	6 GB	147.8 MB	71.6 MB
